BS.pilon.polished.v3.ST170922	Bacillus subtilis
34646	Cryptococcus neoformans
35674	Cryptococcus neoformans
34063	Cryptococcus neoformans
35610	Cryptococcus neoformans
35516	Cryptococcus neoformans
35478	Cryptococcus neoformans
34926	Cryptococcus neoformans
35531	Cryptococcus neoformans
34016	Cryptococcus neoformans
34475	Cryptococcus neoformans
35538	Cryptococcus neoformans
34022	Cryptococcus neoformans
35447	Cryptococcus neoformans
35651	Cryptococcus neoformans
35477	Cryptococcus neoformans
35682	Cryptococcus neoformans
35105	Cryptococcus neoformans
34756	Cryptococcus neoformans
35439	Cryptococcus neoformans
34051	Cryptococcus neoformans
35299	Cryptococcus neoformans
35659	Cryptococcus neoformans
33961	Cryptococcus neoformans
35690	Cryptococcus neoformans
35541	Cryptococcus neoformans
35349	Cryptococcus neoformans
35324	Cryptococcus neoformans
35030	Cryptococcus neoformans
34792	Cryptococcus neoformans
35471	Cryptococcus neoformans
35736	Cryptococcus neoformans
34584	Cryptococcus neoformans
34585	Cryptococcus neoformans
35096	Cryptococcus neoformans
31724	Cryptococcus neoformans
34888	Cryptococcus neoformans
35695	Cryptococcus neoformans
35208	Cryptococcus neoformans
35547	Cryptococcus neoformans
34975	Cryptococcus neoformans
35687	Cryptococcus neoformans
35201	Cryptococcus neoformans
35339	Cryptococcus neoformans
35281	Cryptococcus neoformans
35720	Cryptococcus neoformans
34544	Cryptococcus neoformans
34420	Cryptococcus neoformans
34874	Cryptococcus neoformans
35766	Cryptococcus neoformans
33650	Cryptococcus neoformans
35513	Cryptococcus neoformans
33996	Cryptococcus neoformans
34726	Cryptococcus neoformans
34153	Cryptococcus neoformans
35592	Cryptococcus neoformans
35214	Cryptococcus neoformans
35234	Cryptococcus neoformans
35115	Cryptococcus neoformans
34834	Cryptococcus neoformans
34795	Cryptococcus neoformans
34518	Cryptococcus neoformans
34293	Cryptococcus neoformans
34434	Cryptococcus neoformans
35351	Cryptococcus neoformans
35612	Cryptococcus neoformans
35539	Cryptococcus neoformans
35442	Cryptococcus neoformans
35775	Cryptococcus neoformans
35287	Cryptococcus neoformans
33733	Cryptococcus neoformans
35363	Cryptococcus neoformans
35346	Cryptococcus neoformans
34321	Cryptococcus neoformans
34497	Cryptococcus neoformans
35729	Cryptococcus neoformans
33720	Cryptococcus neoformans
34315	Cryptococcus neoformans
35265	Cryptococcus neoformans
35291	Cryptococcus neoformans
35694	Cryptococcus neoformans
35726	Cryptococcus neoformans
34212	Cryptococcus neoformans
35144	Cryptococcus neoformans
35490	Cryptococcus neoformans
34520	Cryptococcus neoformans
35062	Cryptococcus neoformans
34285	Cryptococcus neoformans
34018	Cryptococcus neoformans
35728	Cryptococcus neoformans
35310	Cryptococcus neoformans
34989	Cryptococcus neoformans
34758	Cryptococcus neoformans
34715	Cryptococcus neoformans
35295	Cryptococcus neoformans
33645	Cryptococcus neoformans
35393	Cryptococcus neoformans
35575	Cryptococcus neoformans
34200	Cryptococcus neoformans
35034	Cryptococcus neoformans
35667	Cryptococcus neoformans
34366	Cryptococcus neoformans
34494	Cryptococcus neoformans
34827	Cryptococcus neoformans
35305	Cryptococcus neoformans
34881	Cryptococcus neoformans
35518	Cryptococcus neoformans
34503	Cryptococcus neoformans
35318	Cryptococcus neoformans
35680	Cryptococcus neoformans
34859	Cryptococcus neoformans
35313	Cryptococcus neoformans
35074	Cryptococcus neoformans
35807	Cryptococcus neoformans
33776	Cryptococcus neoformans
35525	Cryptococcus neoformans
34423	Cryptococcus neoformans
35661	Cryptococcus neoformans
35635	Cryptococcus neoformans
34576	Cryptococcus neoformans
34998	Cryptococcus neoformans
34009	Cryptococcus neoformans
35658	Cryptococcus neoformans
35337	Cryptococcus neoformans
35616	Cryptococcus neoformans
30219	Cryptococcus neoformans
35697	Cryptococcus neoformans
33809	Cryptococcus neoformans
34441	Cryptococcus neoformans
35199	Cryptococcus neoformans
35079	Cryptococcus neoformans
34316	Cryptococcus neoformans
35579	Cryptococcus neoformans
35467	Cryptococcus neoformans
35458	Cryptococcus neoformans
34103	Cryptococcus neoformans
33988	Cryptococcus neoformans
35669	Cryptococcus neoformans
33696	Cryptococcus neoformans
35504	Cryptococcus neoformans
34885	Cryptococcus neoformans
35212	Cryptococcus neoformans
35596	Cryptococcus neoformans
35816	Cryptococcus neoformans
35625	Cryptococcus neoformans
33662	Cryptococcus neoformans
35131	Cryptococcus neoformans
35485	Cryptococcus neoformans
35203	Cryptococcus neoformans
33823	Cryptococcus neoformans
34566	Cryptococcus neoformans
34684	Cryptococcus neoformans
35044	Cryptococcus neoformans
35774	Cryptococcus neoformans
35524	Cryptococcus neoformans
35560	Cryptococcus neoformans
34246	Cryptococcus neoformans
33887	Cryptococcus neoformans
18245	Cryptococcus neoformans
33728	Cryptococcus neoformans
34373	Cryptococcus neoformans
34185	Cryptococcus neoformans
33902	Cryptococcus neoformans
34776	Cryptococcus neoformans
33869	Cryptococcus neoformans
35239	Cryptococcus neoformans
33985	Cryptococcus neoformans
33759	Cryptococcus neoformans
34807	Cryptococcus neoformans
35392	Cryptococcus neoformans
33967	Cryptococcus neoformans
35341	Cryptococcus neoformans
34934	Cryptococcus neoformans
34215	Cryptococcus neoformans
35366	Cryptococcus neoformans
35434	Cryptococcus neoformans
35252	Cryptococcus neoformans
35013	Cryptococcus neoformans
30192	Cryptococcus neoformans
34417	Cryptococcus neoformans
33850	Cryptococcus neoformans
35086	Cryptococcus neoformans
35023	Cryptococcus neoformans
34340	Cryptococcus neoformans
34752	Cryptococcus neoformans
34635	Cryptococcus neoformans
35483	Cryptococcus neoformans
34363	Cryptococcus neoformans
34195	Cryptococcus neoformans
35597	Cryptococcus neoformans
33653	Cryptococcus neoformans
34015	Cryptococcus neoformans
34352	Cryptococcus neoformans
33718	Cryptococcus neoformans
35803	Cryptococcus neoformans
30338	Cryptococcus neoformans
35734	Cryptococcus neoformans
35005	Cryptococcus neoformans
35550	Cryptococcus neoformans
35492	Cryptococcus neoformans
34458	Cryptococcus neoformans
35621	Cryptococcus neoformans
34405	Cryptococcus neoformans
34539	Cryptococcus neoformans
34319	Cryptococcus neoformans
30056	Cryptococcus neoformans
35375	Cryptococcus neoformans
35433	Cryptococcus neoformans
34863	Cryptococcus neoformans
35298	Cryptococcus neoformans
33667	Cryptococcus neoformans
35236	Cryptococcus neoformans
35460	Cryptococcus neoformans
34252	Cryptococcus neoformans
34911	Cryptococcus neoformans
34295	Cryptococcus neoformans
35761	Cryptococcus neoformans
35238	Cryptococcus neoformans
35350	Cryptococcus neoformans
31791	Cryptococcus neoformans
35198	Cryptococcus neoformans
35722	Cryptococcus neoformans
35010	Cryptococcus neoformans
35307	Cryptococcus neoformans
34147	Cryptococcus neoformans
34234	Cryptococcus neoformans
35361	Cryptococcus neoformans
12656	Cryptococcus neoformans
34696	Cryptococcus neoformans
33688	Cryptococcus neoformans
33769	Cryptococcus neoformans
35224	Cryptococcus neoformans
35220	Cryptococcus neoformans
35779	Cryptococcus neoformans
35352	Cryptococcus neoformans
30686	Cryptococcus neoformans
34845	Cryptococcus neoformans
35529	Cryptococcus neoformans
35369	Cryptococcus neoformans
34564	Cryptococcus neoformans
35718	Cryptococcus neoformans
34763	Cryptococcus neoformans
34873	Cryptococcus neoformans
34443	Cryptococcus neoformans
32059	Cryptococcus neoformans
35217	Cryptococcus neoformans
35584	Cryptococcus neoformans
29399	Cryptococcus neoformans
35073	Cryptococcus neoformans
33970	Cryptococcus neoformans
35496	Cryptococcus neoformans
35624	Cryptococcus neoformans
35510	Cryptococcus neoformans
34802	Cryptococcus neoformans
34695	Cryptococcus neoformans
34085	Cryptococcus neoformans
34582	Cryptococcus neoformans
35052	Cryptococcus neoformans
35493	Cryptococcus neoformans
34451	Cryptococcus neoformans
35505	Cryptococcus neoformans
34981	Cryptococcus neoformans
35733	Cryptococcus neoformans
34622	Cryptococcus neoformans
34524	Cryptococcus neoformans
33942	Cryptococcus neoformans
35497	Cryptococcus neoformans
34844	Cryptococcus neoformans
33838	Cryptococcus neoformans
34059	Cryptococcus neoformans
34111	Cryptococcus neoformans
34336	Cryptococcus neoformans
34837	Cryptococcus neoformans
35430	Cryptococcus neoformans
35330	Cryptococcus neoformans
35235	Cryptococcus neoformans
35171	Cryptococcus neoformans
34651	Cryptococcus neoformans
34386	Cryptococcus neoformans
35150	Cryptococcus neoformans
30257	Cryptococcus neoformans
35405	Cryptococcus neoformans
35155	Cryptococcus neoformans
35457	Cryptococcus neoformans
35618	Cryptococcus neoformans
34932	Cryptococcus neoformans
